날짜,시가,고가,저가,종가,거래량,등락률,EMA_short,EMA_long,MACD,MACD_Signal,RSI,RSI_Signal
2013-02-01,24250,24450,24050,24200,4025938,-0.819672131147541,24200.0,24200.0,0.0,0.0,,
2013-02-04,24500,24600,24300,24300,2604422,0.4132231404958678,24215.384615384617,24207.40740740741,7.977207977208309,1.5954415954416619,,
2013-02-05,24050,24200,23600,23700,4574149,-2.4691358024691357,24136.094674556214,24169.821673525377,-33.726998969163105,-5.469046517479292,,
2013-02-06,23850,24650,23800,24500,5764265,3.375527426160337,24192.080109239872,24194.27932733831,-2.1992180984379956,-4.815080833671033,,
2013-02-07,24650,25000,24550,24850,4681401,1.4285714285714286,24293.2985539722,24242.851229016953,50.447324955246586,6.2374003241124925,,
2013-02-08,24850,25000,24550,24750,3258865,-0.4024144869215292,24363.560314899554,24280.417804645327,83.14251025422709,21.618422310135415,,
2013-02-12,24950,25300,24800,25000,3432175,1.0101010101010102,24461.474112607317,24333.720189486412,127.7539231209048,42.845522472289296,,
2013-02-13,25250,25600,25200,25500,4490716,2.0,24621.247326052344,24420.111286561492,201.13603949085154,74.50362587600175,,
2013-02-14,25550,25750,25350,25700,2859954,0.7843137254901961,24787.209275890447,24514.91785792731,272.29141796313706,114.06118429342882,,
2013-02-15,25700,25750,25550,25650,2277981,-0.19455252918287938,24919.94631036884,24598.998016599362,320.94829376947746,155.43860618863857,,
2013-02-18,25600,26000,25550,25900,2456890,0.9746588693957114,25070.723801081323,24695.368533888297,375.3552671930265,199.42193838951619,,
2013-02-19,25800,26100,25750,25850,1779504,-0.19305019305019305,25190.612447068812,24780.89679063731,409.715656431501,241.48068199791317,,
2013-02-20,26250,26700,26200,26500,6657608,2.5145067698259185,25392.056685981304,24908.237769108622,483.81891687268217,289.948328972867,,
2013-02-21,26350,26650,26300,26600,2826255,0.37735849056603776,25577.894118907258,25033.55348991539,544.3406289918676,340.8267889766671,80.0,80.0
2013-02-22,26400,26600,26300,26400,2689623,-0.7518796992481203,25704.37194676768,25134.771749921656,569.6001968460223,386.58147055053814,76.19047619047619,79.23809523809524
2013-02-25,26500,26550,26050,26300,2604691,-0.3787878787878788,25796.007031880345,25221.084953631165,574.9220782491793,424.2495920902664,73.80952380952381,78.15238095238095
2013-02-26,26100,26650,25850,26550,3772301,0.9505703422053232,25912.005950052597,25319.523105214044,592.4828448385524,457.89624263992357,87.01298701298701,79.92450216450217
2013-02-27,26850,26950,26250,26250,3098659,-1.1299435028248588,25964.00503465989,25388.447319642633,575.5577150172576,481.4285371153904,76.11940298507463,79.16348232861667
2013-02-28,26700,26750,26500,26500,4038185,0.9523809523809524,26046.46579855837,25470.78455522466,575.6812433337072,500.27907835905376,75.38461538461539,78.40770893981642
2013-03-04,26600,26700,25900,26000,3753949,-1.8867924528301887,26039.317214164774,25509.985699282097,529.3315148826769,506.08956566377844,67.12328767123287,76.15082468609971
2013-03-05,26400,27200,26400,27000,8141593,3.8461538461538463,26187.114565831733,25620.357128964904,566.7574368668284,518.2231399043885,72.72727272727273,75.46611429433432
2013-03-06,27650,28200,27600,28000,11109877,3.7037037037037033,26466.020017242237,25796.6269712638,669.3930459784387,548.4571211191986,75.51020408163265,75.47493225179399
2013-03-07,28100,28450,27850,28150,6588200,0.5357142857142857,26725.093860743433,25970.950899318334,754.1429614250992,589.5942891803788,75.25773195876289,75.43149219318776
2013-03-08,28350,28400,27800,28250,3607159,0.3552397868561279,26959.694805244446,26139.76935122068,819.9254540237671,635.6605221490565,76.53061224489795,75.6513162035298
2013-03-11,28250,28800,28200,28600,6597705,1.238938053097345,27212.049450591454,26322.008658537667,890.0407920537873,686.5365761300027,77.0,75.92105296282385
2013-03-12,28850,28900,28050,28100,3957978,-1.7482517482517483,27348.657227423537,26453.71172086821,894.9455065553266,728.2183622150676,70.64220183486239,74.86528273723157
2013-03-13,28300,28550,28100,28300,2769799,0.7117437722419928,27495.01765397376,26590.473815618712,904.5438383550463,763.4834574430633,68.0,73.49222618978526
