,날짜,시가,고가,저가,종가,거래량,MACD,MACD_Signal,RSI,RSI_Signal,SMA_5,SMA_20,SMA_60,SMA_120,SMA_240,EMA_5,EMA_20,EMA_60,EMA_120,EMA_240,SMA_5_minus_SMA_20,SMA_5_minus_SMA_60,SMA_5_minus_SMA_120,SMA_5_minus_SMA_240,SMA_20_minus_SMA_60,SMA_20_minus_SMA_120,SMA_20_minus_SMA_240,SMA_60_minus_SMA_120,SMA_60_minus_SMA_240,SMA_120_minus_SMA_240,EMA_5_minus_EMA_20,EMA_5_minus_EMA_60,EMA_5_minus_EMA_120,EMA_5_minus_EMA_240,EMA_20_minus_EMA_60,EMA_20_minus_EMA_120,EMA_20_minus_EMA_240,EMA_60_minus_EMA_120,EMA_60_minus_EMA_240,EMA_120_minus_EMA_240,시가_등락률,고가_등락률,저가_등락률,종가_등락률,거래량_등락률,MACD_등락률,MACD_Signal_등락률,RSI_등락률,RSI_Signal_등락률,SMA_5_등락률,SMA_20_등락률,SMA_60_등락률,SMA_120_등락률,SMA_240_등락률,EMA_5_등락률,EMA_20_등락률,EMA_60_등락률,EMA_120_등락률,EMA_240_등락률,MACD_Binary,MACD_minus_Signal_Binary,RSI_minus_Signal_Binary,시가_대비_종가_등락률,시가_대비_저가_등락률,시가_대비_고가_등락률,저가_대비_종가_등락률,저가_대비_고가_등락률,고가_대비_종가_등락률,종가_minus_SMA_5,종가_minus_SMA_20,종가_minus_SMA_60,종가_minus_SMA_120,종가_minus_SMA_240,종가_minus_EMA_5,종가_minus_EMA_20,종가_minus_EMA_60,종가_minus_EMA_120,종가_minus_EMA_240,[일]사모펀드_수량,[일]기타법인_수량,[일]국가지자체_수량,[일]연기금 등_수량,[일]기타금융_수량,[일]은행_수량,[일]투신_수량,[일]보험_수량,[일]금융투자_수량,[일]기관_수량,[일]외국인_수량,[일]개인_수량,[일]프로그램순매수(종목),target
0,2014-03-21,-0.851148851,-0.834894036,-0.835519677,-0.821073559,0.462305864,-0.300860714,-0.253689092,-0.227448056,-0.991543948,-1.282879812,-1.252254623,-1.267544324,-1.336290078,-1.426000255,-1.269214253,-1.26378688,-1.288238535,-1.346470725,-1.41572898,-0.447555972,-0.281577325,-0.0968283395,1.32E-05,-0.0954012751,0.0521032969,0.111538638,0.175187047,0.179562861,0.139826635,-0.274760746,-0.179159181,-0.0606668017,0.00284160693,-0.0897464507,0.0254107791,0.0704930823,0.142699538,0.140749999,0.128242139,0.533038695,1.801123532,0.897612508,2.07529639,1.729813,-0.148854308,0.0769420374,2.342745061,1.465378167,0.359494843,-0.306056091,0.364561882,0.80804088,0.548178305,1.484810834,0.337261696,0.230947258,0.44231462,0.644008325,0,0,1,3.475935829,0,3.609625668,3.475935829,3.609625668,-0.129032258,0.72229656,-0.00236920131,-0.0640251131,0.0421726857,0.100869903,0.613870258,0.0814054695,-0.00628718272,0.052057044,0.0856781153,0.480683133,-1.26863875,0.405826979,-0.118498024,0.30756326,4.527522936,3.981942098,2.029861331,0.183384277,1.331608284,1.374596097,-1.928576014,1.100530542,-1
1,2014-03-24,-0.824175824,-0.833908329,-0.823410696,-0.832007952,-0.136175474,-0.274030963,-0.260423453,-0.436815553,-0.898675493,-1.273775074,-1.253367271,-1.26692017,-1.334110805,-1.424582523,-1.263467272,-1.263127367,-1.287435971,-1.345114653,-1.414262353,-0.348618018,-0.242220041,-0.0751480977,0.0175877846,-0.10645546,0.0409049179,0.105801867,0.166578747,0.177574498,0.143217673,-0.211137788,-0.151853642,-0.0440945915,0.0149481241,-0.0907540146,0.0226332207,0.0684589738,0.13838028,0.13847099,0.127844079,1.481478469,0.0257214517,0.748811783,-0.671306136,-0.680517153,-0.098313522,0.0322344973,-0.499062763,0.69903828,0.754896764,-0.335200536,-0.0186238413,0.665352257,0.518865831,0.442034145,-0.0107649425,0.0337917806,0.296522519,0.531575209,0,0,1,-1.548387097,-1.935483871,0.129032258,0.394736842,2.105263158,-1.675257732,0.306758769,-0.123594292,-0.140334653,-0.0148036234,0.0600724256,0.163238381,-0.0745517947,-0.0945232635,-0.0125139142,0.0365166938,0.0956316411,-2.803278269,0.0106924543,0.238107484,0,-1.894648318,-0.586655847,-0.748526579,0.346853499,0.0430441642,-0.0798423594,0.107573552,-1.93151653,1
2,2014-03-25,-0.834165834,-0.843765402,-0.833501514,-0.842942346,-0.365317878,-0.27484136,-0.265983781,-0.845869648,-0.923591441,-1.265926163,-1.255036243,-1.266458839,-1.3320852,-1.423317469,-1.265395582,-1.26419815,-1.287249917,-1.344087952,-1.412967713,-0.256529615,-0.20794893,-0.0568804865,0.0326516926,-0.12006061,0.0282600817,0.0990694588,0.157892189,0.175528221,0.146579727,-0.222019046,-0.163413724,-0.0547489131,0.00650586498,-0.101168927,0.0134848126,0.0616741097,0.131552915,0.134364502,0.126328509,-0.57976558,-0.697423461,-0.684835378,-0.68044567,-0.4434166,-0.00279476036,0.026601288,-0.965934821,-0.21400968,0.635937407,-0.437007532,-0.0696728265,0.596594697,0.419510179,-0.237205601,-0.324638829,-0.15643119,0.153651053,0.420502838,0,0,0,-1.699346405,-1.960784314,0.130718954,0.266666667,2.133333333,-1.82767624,-0.0889915068,-0.240700084,-0.215973831,-0.0713553122,0.0195771521,-0.137182871,-0.215655986,-0.179866358,-0.0760175837,-0.0122367491,0.072135785,-0.0474836727,0.0233148072,-0.280247472,0.682231232,-6.599847095,1.069134648,-0.588007552,0.388899955,0.176883318,-0.702909512,0.484880801,0.324422134,1
3,2014-03-26,-0.837162837,-0.841793987,-0.830474268,-0.827037773,-0.345916634,-0.24090191,-0.263193523,-0.381208143,-0.830826638,-1.257135383,-1.256387315,-1.265156258,-1.32980814,-1.42197971,-1.258303477,-1.26274152,-1.286211496,-1.342631739,-1.411451358,-0.158352722,-0.173072322,-0.0364448512,0.0496830115,-0.136896983,0.0158952049,0.0929375935,0.152648951,0.175682657,0.150695344,-0.151423884,-0.129969982,-0.0335509728,0.0221656161,-0.0974529683,0.0138604638,0.0619095524,0.128404734,0.132844857,0.126287099,-0.201937357,0.0930856309,0.157554967,0.911732875,-0.149936608,-0.152581484,0.000906050159,1.110282421,0.682066769,0.715147892,-0.379278152,0.193416102,0.704594986,0.465319585,0.55919361,0.133970046,0.106292253,0.338568145,0.561082552,0,1,1,0.787401575,-1.181102362,0.787401575,1.992031873,1.992031873,0,0.168246173,-0.0423852508,-0.114078808,-0.00353188741,0.0721893482,0.215888334,-0.00954762319,-0.0618736654,0.00679357513,0.0506132828,-0.0810431693,-0.0838519657,0.0311809112,-0.098220224,0,-0.0152905199,0.290528846,1.743246222,0.036679603,0.237141662,0.25201844,-0.352649872,1.313000655,-1
4,2014-03-27,-0.838161838,-0.841793987,-0.832492432,-0.840954274,-0.335507675,-0.242785792,-0.261363107,-0.431351241,-0.768776348,-1.252426036,-1.259248409,-1.264586378,-1.327642837,-1.420649223,-1.260905846,-1.263545871,-1.285958281,-1.341590267,-1.410150988,-0.0852908485,-0.153817528,-0.028214389,0.0575673376,-0.158835288,-0.00141562262,0.0832182711,0.143805879,0.173771511,0.154376214,-0.174003146,-0.145582193,-0.0467466008,0.0118676499,-0.106194608,0.00584511558,0.0559131632,0.122023261,0.128986201,0.124834713,-0.092175681,-0.0400961008,-0.169232557,-0.850505447,-0.162420341,0.00589344166,0.00354827476,-0.181110296,0.433786726,0.348578024,-0.656069846,-0.035961169,0.654145822,0.459641551,-0.295647383,-0.276271863,-0.13580419,0.15910573,0.422156027,0,1,1,-0.919842313,-1.314060447,0.919842313,0.399467377,2.263648469,-1.822916667,-0.252238496,-0.185972252,-0.210275754,-0.0743662553,0.0212032949,-0.163566462,-0.193928695,-0.1705692,-0.0731698022,-0.0106125756,0.127193239,0.994903317,-0.525483144,0.373194286,-0.528449602,3.006880734,-0.458781657,-0.578366827,0.407798422,0.176055295,-1.613750672,1.214744904,-2.218120439,1
5,2014-03-28,-0.842157842,-0.85165106,-0.843592331,-0.85387674,0.178068155,-0.270626176,-0.2658365,-0.364098171,-0.702824764,-1.262786599,-1.261950554,-1.264450693,-1.325994413,-1.419318735,-1.269447595,-1.266244283,-1.286410873,-1.340928778,-1.409050282,-0.159874844,-0.202378361,-0.0647496113,0.0316239406,-0.177032177,-0.0164401145,0.0738782393,0.135354093,0.170624878,0.155912325,-0.247396792,-0.190065176,-0.0805808913,-0.0141683945,-0.124983504,-0.00906181996,0.0447476683,0.112794145,0.123045738,0.122101345,-0.258082585,-0.704270621,-0.757951774,-0.806443097,0.509547017,0.169201701,0.0230198272,0.0725250411,0.453190671,-0.979984263,-0.628134606,-0.171653062,0.428217161,0.458642973,-0.818728724,-0.619996916,-0.35314781,-0.00486797066,0.294110357,0,0,1,-2.113606341,-2.245706737,0.132100396,0.135135135,2.432432432,-2.242744063,-0.410538606,-0.318966769,-0.297981447,-0.139140135,-0.0263290037,-0.396041806,-0.348387662,-0.268273626,-0.146431279,-0.0672118584,-1.89984453,-3.549596619,-1.405023328,-0.612968924,-2.963791416,-0.583792049,-2.419296687,-0.150226643,-0.277088986,-1.433315756,-1.04868908,1.817087885,0.670424763,-1
6,2014-03-31,-0.859140859,-0.867422376,-0.872855701,-0.874751491,2.65159105,-0.335195508,-0.283186398,-0.705241446,-0.73280333,-1.276286726,-1.26663957,-1.264206458,-1.325002565,-1.418126385,-1.286137753,-1.271869085,-1.287975365,-1.340864231,-1.408263813,-0.245874758,-0.265955511,-0.109033513,-0.00108793757,-0.208664151,-0.0362705772,0.0600973462,0.131206457,0.168153902,0.155274694,-0.386464512,-0.273400614,-0.142469952,-0.0616971474,-0.159122564,-0.0345748023,0.0256114958,0.0990653497,0.113824533,0.117359335,-0.981663683,-1.116794849,-1.962877436,-1.301524224,2.222706842,0.284034287,0.0602326452,-0.799233969,-0.238700448,-1.266809762,-0.994762158,-0.13775903,0.142787963,0.369197225,-1.546294259,-1.153199359,-0.695694555,-0.261875716,0.0935724875,0,0,0,-2.702702703,-3.918918919,0.27027027,1.265822785,4.360056259,-2.964959569,-0.71724507,-0.531404914,-0.439763008,-0.239157491,-0.101217917,-0.714981529,-0.587032269,-0.422193192,-0.261523357,-0.156289255,-0.446947292,-5.627199385,-3.01537945,0.450285397,-0.38864812,-0.957033639,-3.549425547,-4.20533019,0.716218475,-1.175754591,-2.23653297,2.710454984,0.705899669,1
7,2014-04-01,-0.866133866,-0.867422376,-0.851664985,-0.854870775,0.963941313,-0.34216688,-0.298553154,-0.246502403,-0.645525037,-1.280054203,-1.269739088,-1.263826539,-1.32385705,-1.416810438,-1.286792469,-1.273926399,-1.288415477,-1.340242647,-1.407193297,-0.252724309,-0.285089206,-0.123888493,-0.0122023414,-0.230942585,-0.0510151096,0.0498406954,0.126980564,0.16574084,0.154781979,-0.369290635,-0.274674966,-0.147025873,-0.0661102713,-0.172678332,-0.0464361474,0.0164639381,0.0902679189,0.108047268,0.114552209,-0.434897869,-0.0400961008,1.411273236,1.201731888,-0.882331624,0.0125121776,0.0467626706,1.031159243,0.600938458,-0.406205211,-0.704575969,-0.0954091406,0.208953873,0.447455163,-0.126029555,-0.506276502,-0.349528407,-0.0222083455,0.273786732,0,0,1,0.954979536,-0.136425648,1.227830832,1.092896175,1.366120219,-0.269541779,-0.163194684,-0.273066006,-0.307254788,-0.149678436,-0.0347475307,-0.0873326909,-0.296106728,-0.266546075,-0.15412522,-0.0757698578,0.852759302,-1.2,-0.432461891,-0.307205713,4.521179925,7.312691131,-1.177831306,3.019693528,0.27789493,0.367028092,1.209316011,-1.23542875,0.560048624,1
8,2014-04-02,-0.85014985,-0.855593889,-0.847628658,-0.85387674,-0.0196731034,-0.343618273,-0.311156108,-0.453400219,-0.625882758,-1.288531028,-1.273553881,-1.264152184,-1.322655656,-1.4156399,-1.286705344,-1.275636188,-1.288787505,-1.339603432,-1.406117136,-0.29838798,-0.322872198,-0.153357563,-0.0335942653,-0.253391083,-0.0684659169,0.0381933122,0.118372264,0.161706199,0.155100794,-0.347136947,-0.272237578,-0.148901433,-0.0685103771,-0.18389358,-0.0568126523,0.00834985777,0.0819007663,0.102521854,0.111828375,0.881265079,0.784840878,0.229455661,0.0229250884,-0.848747085,-0.00255768839,0.0359823714,-0.496692719,0.111773115,-0.831761214,-0.838498622,-0.315675752,0.232649461,0.353584694,-0.0593391273,-0.443326419,-0.328571107,-0.0147634698,0.276747564,0,0,1,-1.068090788,-1.73564753,0.667556742,0.679347826,2.445652174,-1.724137931,-0.00489457311,-0.233049957,-0.299210444,-0.148365974,-0.0336106698,-0.0582960121,-0.267766423,-0.257121232,-0.150725904,-0.0741697368,-0.0507206565,-0.314867461,-0.565179529,1.673905782,0.15378163,1.174311927,-0.119019861,0.951595128,0.207200833,0.747341608,-0.577050545,0.046651321,-1.317542299,1
9,2014-04-03,-0.853146853,-0.862493839,-0.853683148,-0.863817097,-0.496447055,-0.363704503,-0.325522411,-0.567315097,-0.637797495,-1.295752026,-1.277607098,-1.264830612,-1.321831444,-1.414512984,-1.291883288,-1.278699037,-1.289683878,-1.339253834,-1.405195193,-0.329591488,-0.353268131,-0.177888355,-0.0520791192,-0.275159323,-0.085496785,0.0260718157,0.10984222,0.156783552,0.154028415,-0.374044721,-0.29592688,-0.169234851,-0.0849176243,-0.202123315,-0.072035429,-0.00342508692,0.0714780377,0.0954719276,0.108141612,-0.205461357,-0.513650772,-0.439072657,-0.639340242,-0.693370259,0.0452451725,0.0367943851,-0.323749591,-0.108285966,-0.723325105,-0.885043663,-0.425846666,0.0691760768,0.32497715,-0.53286104,-0.691733368,-0.490432103,-0.139388645,0.178271444,0,0,0,-2.010723861,-2.144772118,0.134048257,0.136986301,2.328767123,-2.141900937,-0.138460291,-0.320732183,-0.363453468,-0.196965685,-0.0703787664,-0.264377946,-0.378107219,-0.329705925,-0.206564886,-0.117886143,-0.108466691,4.000153669,-0.476823059,-1.44843793,-1.110023766,2.64617737,-2.077624328,-0.733442582,-0.171459972,-1.179848951,0.359715552,0.306750548,1.20348715,1
