날짜,기관합계,기타법인,개인,외국인합계,전체
2014-03-20,-7761026000,-80122000,23581151000,-15740003000,0
2014-03-21,-18685132000,-1137456000,30796318000,-10973730000,0
2014-03-24,853498000,487526000,11423789000,-12764813000,0
2014-03-25,-73926708000,2889123000,122078736000,-51041151000,0
2014-03-26,113515202000,1073713000,-106366944000,-8221971000,0
2014-03-27,25536495000,606264000,-239068576000,212925817000,0
2014-03-28,5227165000,-2709169000,-86507272000,83989276000,0
2014-03-31,-23731054000,-1313869000,-62486585000,87531508000,0
2014-04-01,-55231694000,-373284000,-22402844000,78007822000,0
2014-04-02,-90514317000,-594160000,-106664327000,197772804000,0
2014-04-03,30084814000,268282000,-187891020000,157537924000,0
2014-04-04,3056653000,388155000,-16189099000,12744291000,0
2014-04-07,-53337679000,-1396176000,-56997271000,111731126000,0
2014-04-08,-35840260000,-6304052000,-51381197000,93525509000,0
2014-04-09,5629000,-554766000,24062364000,-23513227000,0
2014-04-10,-31348641000,721152000,-22385407000,53012896000,0
2014-04-11,-54684168000,154758000,7337768000,47191642000,0
2014-04-14,-8215575064,115595000,-3467658000,11567638064,0
2014-04-15,-41111891000,-4744379000,4579096000,41277174000,0
2014-04-16,29190975000,-1208227000,-37998417000,10015669000,0
2014-04-17,-7047619000,36078000,5016711000,1994830000,0
2014-04-18,70681505000,1005186000,-11694376000,-59992315000,0
2014-04-21,6871941000,-250167000,-14875089000,8253315000,0
2014-04-22,17995303000,-13449678000,-1959349000,-2586276000,0
2014-04-23,9709870000,-66914000,-64388405000,54745449000,0
2014-04-24,-38633874000,-3694038000,-76528079000,118855991000,0
2014-04-25,-75693534000,7387018000,-82082121000,150388637000,0
2014-04-28,2201951000,316340000,-751783000,-1766508000,0
2014-04-29,15595446000,1773635000,47454522000,-64823603000,0
2014-04-30,-36842040000,-1422330000,81166633000,-42902263000,0
2014-05-02,-7326317000,-471813000,-8749774000,16547904000,0
2014-05-07,18628015000,568135000,1444615000,-20640765000,0
2014-05-08,4221433000,1912326000,13860959000,-19994718000,0
2014-05-09,1233087000,493589000,45191896000,-46918572000,0
2014-05-12,111064589000,3368145000,-115051334000,618600000,0
2014-05-13,61782319000,9052869000,-104620294000,33785106000,0
2014-05-14,33150884000,-644261000,-86060856000,53554233000,0
2014-05-15,-15904132000,-1182844000,-36884195000,53971171000,0
2014-05-16,-86020090000,-7299193000,-71910190000,165229473000,0
2014-05-19,-7625070000,-347599000,-127184475000,135157144000,0
2014-05-20,-31267108000,-2066221000,-47896620000,81229949000,0
2014-05-21,-23967934200,-867599000,-21372045000,46207578200,0
2014-05-22,-31113075000,859215000,-6751812000,37005672000,0
2014-05-23,6896516000,14559000,-12859844000,5948769000,0
2014-05-26,-5012887000,-1747792000,-3067144000,9827823000,0
2014-05-27,-10638378000,-1202634000,5984442000,5856570000,0
2014-05-28,18831483000,-1381920000,-16358128000,-1091435000,0
2014-05-29,26879927000,2398501000,-114712606000,85434178000,0
2014-05-30,55786466000,-3110149000,-36363111000,-16313206000,0
2014-06-02,-54528059000,1928934000,-9998072000,62597197000,0
2014-06-03,25596977000,9025418000,-4445616000,-30176779000,0
2014-06-05,-9469534000,7126123000,29604142000,-27260731000,0
2014-06-09,-24563176000,-1388780000,55239908000,-29287952000,0
2014-06-10,-40723899000,299566000,-6076508000,46500841000,0
2014-06-11,-20236120000,-11631670000,11733171000,20134619000,0
2014-06-12,-75864898000,-3618855000,55608324000,23875429000,0
2014-06-13,-79892295000,-13594039000,190024703000,-96538369000,0
